Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,276.4885,0.0,7.25,10.0,5.0,10.0,10.0,4.75
UNID EDUC JEAN PIAGET,272.30879999999996,4.0,6.58,10.0,5.0,10.0,10.0,6.75
ESC NORMAL SUPERIOR NSTRA SRA DE LA PAZ,294.9138,0.0,8.62,6.0,5.0,10.0,10.0,10.0
COL MARIA INMACULADA,307.4262,2.0,4.790000000000001,10.0,6.0,10.0,4.35,6.75
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,323.46670000000006,0.0,8.2,8.0,5.0,10.0,9.600000000000001,10.0
GIMNASIO MODELIA REAL - SEDE PRINCIPAL,289.79409999999996,0.0,6.99,10.0,5.0,10.0,7.449999999999999,8.75
COL LUTERANO SAN LUCAS,302.51609999999994,0.0,0.14999999999999974,4.0,5.0,10.0,10.0,6.5
COL DE LA PRESENTACION SANS FACON,328.8586,0.0,9.15,10.0,5.0,10.0,4.5,8.0
GIMN MILIT FUERZA AEREA DE COLOMBIA,318.9474,0.0,7.619999999999998,10.0,6.0,10.0,10.0,6.75
COL RR OBLATAS AL DIVINO AMOR,315.7302,0.0,6.85,10.0,5.0,10.0,8.600000000000001,10.0
COL NAL CLEMENCIA DE CAYCEDO,256.7011,4.0,5.390000000000001,8.0,5.0,10.0,10.0,10.0
CENT EDUC DIST QUIROGA ALIANZA,272.2879,8.0,5.88,10.0,5.0,10.0,10.0,9.0
CENT EDUC DIST EL JAZMIN,269.8054,6.0,7.45,10.0,5.0,10.0,10.0,9.5
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO,282.8268,0.0,6.630000000000001,0.0,5.0,10.0,10.0,10.0
CENT EDUC DIST NUEVA ESPERANZA,238.1379,6.0,9.790000000000001,10.0,5.0,6.0,9.45,3.0
COL DIST TOBERIN,265.36609999999996,4.0,9.030000000000001,10.0,7.0,10.0,4.6,7.75
SALUDCOOP NORTE (INST EDUC DIST),269.81579999999997,8.0,6.8,10.0,5.0,10.0,4.3500000000000005,9.5
