Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
COL COLOMBO JAPONES,236.0857,0.0,9.34,10.0,5.0,8.0,10.0,6.0
EXTERN SIMON BOLIVAR,230.4154,0.0,0.0,0.0,8.5,10.0,9.100000000000001,10.0
COLEGIO MAYOR PRIMEROS MAESTROS,283.75,0.0,4.69,4.0,5.0,10.0,10.0,9.75
COL DE LA ENSEÑANZA,334.46840000000003,10.0,10.0,10.0,5.0,7.5,3.1500000000000004,10.0
COL COOP MINUTO DE DIOS,264.77779999999996,0.0,8.75,10.0,5.0,10.0,10.0,10.0
COL BOGOTANO MIXTO,315.0,0.0,0.0,0.0,10.0,10.0,9.75,10.0
CENT EDUC DIST SIMON BOLIVAR,251.80879999999996,0.0,2.8299999999999996,10.0,7.5,10.0,9.600000000000001,5.5
COL NAL CLEMENCIA DE CAYCEDO,256.7011,4.0,5.390000000000001,8.0,5.0,10.0,10.0,10.0
COL DEPT INTEGRADO FONTIBON,250.5311,10.0,6.28,6.0,5.0,8.75,8.450000000000001,4.5
COL DIST GUILLERMO LEON VALENCIA,257.80620000000005,0.0,3.24,10.0,6.0,10.0,10.0,10.0
CENT EDUC DIST BRAVO PAEZ,265.30170000000004,6.0,7.9,10.0,5.0,10.0,10.0,9.25
CEDIT FRANCISCO DE PAULA SANTANDER,273.92539999999997,0.0,8.45,8.0,6.0,10.0,10.0,10.0
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO,282.8268,0.0,6.630000000000001,0.0,5.0,10.0,10.0,10.0
CENT EDUC DIST SAN BERNARDINO,255.57840000000002,8.0,7.5,10.0,5.0,6.25,10.0,4.5
COL DIST EDUC BAS Y MEDIA LOS ALPES,249.26349999999996,0.0,7.540000000000001,10.0,5.0,9.0,10.0,5.0
CEDID CIUDAD BOLIVAR,248.39049999999997,0.0,5.1,10.0,6.0,8.0,10.0,5.5
CENT EDUC DIST MARRUECOS Y MOLINOS,263.8401,0.0,9.5,10.0,10.0,8.5,10.0,6.5
CENT EDUC DIST ISMAEL PERDOMO,257.71909999999997,0.0,9.15,10.0,10.0,8.0,10.0,5.0
COL DIST ANTONIO JOSE URIBE,244.6364,0.0,0.0,0.0,7.0,10.0,10.0,9.0
CENT EDUC DIST ANTONIO VILLAVICENCIO,229.8841,10.0,9.5,10.0,5.0,10.0,8.05,3.75
CENT EDUC DIST REINO DE HOLANDA,247.3886,0.0,6.75,10.0,5.0,10.0,10.0,8.5
INST TEC IND PILOTO,270.3299,0.0,2.5999999999999996,10.0,6.0,10.0,10.0,8.25
LICEO NAL MAGDALENA ORTEGA DE NARIÑO,280.42269999999996,0.0,6.03,10.0,5.0,10.0,8.9,10.0
